img,u,vB,vT,d,p,label
10084636266401282188_1120_000_1140_000_0.png,768,636,608,76.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,764,640,596,76.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,756,640,596,75.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,752,640,596,75.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,748,640,596,75.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1160,552,540,75.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1176,552,540,75.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1168,552,540,75.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1164,552,540,75.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,600,644,608,75.0,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,700,608,584,74.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,768,640,612,73.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,764,640,612,73.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,760,640,612,73.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,752,640,612,73.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,748,640,612,73.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,704,608,568,73.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,708,604,548,73.3,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,724,564,540,73.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,716,596,540,73.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,720,608,540,73.0,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1068,632,600,72.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1096,632,616,72.0,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1088,632,616,71.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1056,632,620,71.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1052,632,620,71.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1084,632,616,71.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1080,632,616,71.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1064,632,612,71.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1060,632,612,71.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1048,632,624,71.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1076,632,612,71.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1072,632,612,71.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1052,632,624,71.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,720,612,608,70.3,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,588,604,548,70.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,748,644,620,69.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,584,616,548,69.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,580,652,552,69.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,576,652,548,69.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,576,652,560,69.3,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1212,544,536,68.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1208,544,536,68.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1224,632,536,68.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1220,576,536,68.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,572,652,616,67.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,640,572,540,67.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,636,572,552,67.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,632,572,552,67.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,624,572,552,67.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,648,608,540,67.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,572,656,540,66.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,556,656,540,66.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,564,656,540,66.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1224,632,552,66.2,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1228,632,556,66.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1132,636,540,65.3,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1124,600,540,65.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,648,612,608,64.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1248,636,548,63.8,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1252,636,548,63.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1256,636,572,63.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1248,636,580,62.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,588,660,616,62.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,584,660,620,62.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1252,636,580,62.2,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,552,660,568,62.0,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,552,660,540,61.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1252,636,612,61.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,544,664,540,61.2,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,544,664,552,60.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,544,664,564,60.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,540,608,548,60.2,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,536,620,552,60.0,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,704,620,612,59.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,500,668,584,59.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,500,668,604,59.0,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1256,644,536,57.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,492,668,652,57.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,524,560,548,57.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,520,668,540,57.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,524,564,560,57.3,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,664,664,612,57.2,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1264,644,536,57.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,648,624,620,57.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,516,672,540,57.1,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,624,564,560,57.0,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,516,668,548,57.0,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,620,572,548,56.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,616,620,540,56.9,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,608,620,540,56.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,600,612,540,56.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,596,620,540,56.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,576,592,540,56.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,520,672,560,56.7,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,612,620,540,56.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,568,596,564,56.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,564,596,564,56.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,560,584,564,56.6,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,516,672,564,56.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,512,672,548,56.5,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1268,644,536,56.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,604,620,564,56.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,600,612,564,56.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,572,592,564,56.4,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,1272,644,536,56.3,1.0,-1
10084636266401282188_1120_000_1140_000_0.png,596,620,548,56.3,1.0,-1
